Company,TypeName,Inches,ScreenResolution,Ram,OpSys,Weight,Touchscreen,IPS_panel,Cpu_brand,HDD,SSD,Gpu_brand,PRICE
Asus,Notebook,15.6,1920x1080,4,Windows,2.0,0,0,Other Intel Processor,1000,0,Intel,18328.32
HP,Notebook,15.6,1920x1080,8,Windows,2.1,0,1,Intel Core i3,1000,0,Nvidia,38148.48
HP,Notebook,14.0,1366x768,4,Windows,1.64,0,0,Intel Core i5,500,0,Intel,41505.12
Dell,Notebook,15.6,1920x1080,8,Windows,2.18,0,0,Intel Core i5,0,256,AMD,42081.0768
Dell,Ultrabook,13.3,1920x1080,8,Windows,1.2,0,0,Intel Core i7,0,256,Intel,84129.12
MSI,Gaming,17.3,1920x1080,16,Windows,2.9,0,0,Intel Core i7,1000,512,Nvidia,128671.2
Dell,Workstation,15.6,1920x1080,16,Windows,2.17,0,1,Intel Core i7,0,512,Nvidia,124568.64
Dell,Notebook,15.6,1920x1080,8,Windows,2.2,0,0,Intel Core i5,0,256,AMD,42486.0048
Asus,2 in 1 Convertible,11.6,1366x768,4,Windows,1.5,1,0,Other Intel Processor,0,0,Intel,19980.0
Asus,Gaming,15.6,1920x1080,8,Windows,2.3,0,1,Intel Core i5,1000,128,Nvidia,87858.72
HP,Notebook,14.0,1920x1080,8,Windows,1.63,0,0,Intel Core i7,0,256,Intel,52640.64
HP,Notebook,15.6,1920x1080,4,Windows,1.86,0,0,Intel Core i3,1000,0,Intel,24988.32
Lenovo,Gaming,15.6,1920x1080,8,Others/No OS/Linux,2.4,0,1,Intel Core i5,1000,128,Nvidia,43103.52
Dell,Notebook,15.6,1920x1080,16,Windows,1.93,0,0,Intel Core i7,0,256,Nvidia,81912.13919999999
Lenovo,Notebook,15.6,1366x768,12,Windows,2.2,1,0,Intel Core i7,1000,0,Intel,32447.52
Lenovo,Notebook,15.6,1920x1080,4,Windows,2.2,0,0,AMD Processor,0,256,AMD,21258.72
Dell,2 in 1 Convertible,15.6,1920x1080,8,Windows,1.56,1,0,Intel Core i7,0,256,Intel,55890.72
Lenovo,Notebook,15.6,1920x1080,4,Others/No OS/Linux,1.85,0,0,Intel Core i3,0,128,Intel,21498.48
Asus,Ultrabook,13.3,1920x1080,8,Windows,1.45,0,0,Intel Core i7,0,256,Intel,68198.4
Toshiba,Notebook,14.0,1366x768,4,Windows,1.75,0,0,Intel Core i5,500,0,Intel,48751.2
Dell,Notebook,15.6,1920x1080,8,Windows,2.09,0,0,Intel Core i5,500,0,Intel,55754.3232
Acer,2 in 1 Convertible,14.0,1920x1080,8,Windows,1.2,1,1,Intel Core i7,0,256,Intel,61218.72
Samsung,Ultrabook,13.3,1920x1080,8,Windows,0.81,0,0,Intel Core i5,0,256,Intel,79866.72
MSI,Gaming,17.3,1920x1080,8,Windows,2.9,0,0,Intel Core i7,1000,128,Nvidia,80516.20319999999
Dell,Notebook,15.6,1920x1080,8,Others/No OS/Linux,2.2,0,0,Intel Core i7,1000,0,AMD,31962.672
HP,Notebook,14.0,1366x768,2,Windows,1.44,0,0,Other Intel Processor,0,0,Intel,14865.12
HP,2 in 1 Convertible,13.3,2560x1440,8,Windows,1.48,1,0,Intel Core i7,0,256,Intel,95850.72
Lenovo,Notebook,15.6,3840x2160,32,Windows,2.5,0,1,Other Intel Processor,0,1000,Nvidia,261018.72
Asus,Notebook,15.6,1920x1080,4,Others/No OS/Linux,2.0,0,0,Intel Core i5,0,256,Intel,29783.52
Lenovo,2 in 1 Convertible,14.0,1920x1080,4,Windows,1.74,1,1,Intel Core i3,0,256,Intel,33513.119999999995
HP,2 in 1 Convertible,13.3,1920x1080,8,Windows,1.28,1,0,Intel Core i7,0,256,Intel,136343.52
Asus,Notebook,15.6,1366x768,4,Windows,2.37,0,0,Intel Core i7,0,256,Intel,45282.672
Lenovo,Notebook,14.0,1920x1080,8,Windows,1.8,0,0,Intel Core i5,0,256,Intel,63456.48
Lenovo,Notebook,15.6,1920x1080,8,Windows,2.3,0,0,Intel Core i5,1000,128,Nvidia,43636.32
Acer,Gaming,15.6,1920x1080,8,Others/No OS/Linux,2.4,0,0,Intel Core i5,1000,0,Nvidia,42517.44
Dell,Notebook,15.6,1920x1080,8,Others/No OS/Linux,2.33,0,0,Intel Core i7,0,256,AMD,41498.1936
Lenovo,2 in 1 Convertible,15.6,3840x2160,16,Windows,2.0,1,1,Intel Core i7,0,512,Nvidia,101178.72
Razer,Ultrabook,12.5,3840x2160,8,Windows,1.25,1,0,Intel Core i7,0,256,Intel,54825.12
Acer,2 in 1 Convertible,13.3,1920x1080,8,Windows,1.6,1,1,Intel Core i5,0,256,Intel,53226.72
Dell,Notebook,15.6,1366x768,4,Windows,2.18,0,0,Intel Core i3,1000,0,Intel,31254.048
Dell,Notebook,15.6,1366x768,4,Windows,1.8,0,0,Other Intel Processor,500,0,Intel,16463.52
HP,Netbook,11.6,1366x768,2,Windows,1.17,0,0,Other Intel Processor,0,0,Intel,11135.52
Lenovo,Notebook,15.6,1366x768,4,Windows,2.1,0,0,Intel Core i5,500,0,Intel,28771.2
HP,Notebook,14.0,1920x1080,4,Windows,1.95,0,0,Intel Core i5,0,128,Intel,67399.2
Toshiba,Notebook,14.0,1920x1080,8,Windows,1.95,0,0,Intel Core i5,0,256,Intel,62870.4
LG,Ultrabook,15.6,1920x1080,16,Windows,1.08,1,1,Intel Core i7,0,512,Intel,111834.72
Dell,Notebook,15.6,1366x768,4,Windows,1.9,0,0,Intel Core i5,500,0,Intel,43956.0
Lenovo,Notebook,15.6,1920x1080,8,Windows,1.9,0,0,Intel Core i5,1000,128,AMD,43316.64
Dell,2 in 1 Convertible,17.3,1920x1080,16,Windows,2.77,1,0,Intel Core i7,0,512,Nvidia,95850.72
HP,Gaming,17.3,1920x1080,8,Windows,2.75,0,1,Intel Core i5,1000,128,Nvidia,74538.72
Dell,Gaming,15.6,1920x1080,8,Windows,2.65,0,0,Intel Core i5,0,0,Nvidia,50562.72
Lenovo,Notebook,15.6,1920x1080,8,Windows,2.05,0,0,Intel Core i5,0,256,Intel,39373.92
Dell,Gaming,17.3,1920x1080,32,Windows,4.42,0,1,Intel Core i7,1000,256,Nvidia,167778.72
Dell,Notebook,15.6,1920x1080,8,Others/No OS/Linux,1.98,0,0,Intel Core i5,1000,0,Intel,38681.28
Asus,Gaming,17.3,1920x1080,8,Windows,3.2,0,0,AMD Processor,1000,256,AMD,90309.6
Lenovo,Ultrabook,14.0,1920x1080,8,Windows,1.13,0,1,Intel Core i7,0,0,Intel,109170.72
Asus,Gaming,15.6,1920x1080,16,Windows,2.2,0,1,Intel Core i7,1000,128,Nvidia,77202.72
Dell,Notebook,15.6,1920x1080,8,Windows,2.18,0,0,Intel Core i5,0,256,Intel,42357.6
Asus,Gaming,17.3,1920x1080,8,Windows,3.0,0,0,Intel Core i7,1000,0,Nvidia,55357.92
HP,Notebook,13.3,3200x1800,8,Windows,1.16,1,0,Other Intel Processor,0,256,Intel,90522.72
Lenovo,Notebook,15.6,1920x1080,4,Windows,2.2,0,0,Intel Core i7,1000,0,Nvidia,42570.72
Mediacom,Notebook,14.0,1920x1200,4,Windows,1.4,0,1,Other Intel Processor,32,0,Intel,14119.2
HP,Notebook,15.6,1920x1080,8,Windows,2.1,0,0,Intel Core i7,1000,0,AMD,39693.6
Acer,Notebook,15.6,1366x768,2,Others/No OS/Linux,2.19,0,0,Other Intel Processor,0,16,Intel,10602.72
Acer,Notebook,15.6,1920x1080,12,Windows,2.15,1,1,Intel Core i7,1000,0,Intel,35111.52
Dell,2 in 1 Convertible,13.3,1920x1080,8,Windows,1.62,1,0,Intel Core i7,0,256,Intel,42517.9728
Apple,Ultrabook,11.6,1366x768,4,Mac,1.08,0,0,Intel Core i5,0,0,Intel,51095.52
Lenovo,Notebook,14.0,1920x1080,8,Windows,1.7,0,0,Intel Core i5,0,180,Intel,63882.72
Asus,2 in 1 Convertible,13.3,1920x1080,8,Windows,1.1,1,0,Intel Core i7,0,1024,Intel,79866.72
Asus,Ultrabook,15.6,1920x1080,8,Windows,1.7,0,0,Intel Core i7,0,256,Nvidia,55938.672
Dell,Notebook,15.6,1920x1080,8,Windows,2.0,0,0,Intel Core i5,0,256,Nvidia,60885.72
Asus,Notebook,15.6,1920x1080,4,Others/No OS/Linux,2.0,0,0,Intel Core i3,0,256,Intel,22111.2
Dell,Gaming,17.3,2560x1440,16,Windows,4.36,0,0,Intel Core i7,1000,512,Nvidia,146946.24
Lenovo,Netbook,12.5,1920x1080,16,Windows,1.3,1,1,Intel Core i7,0,512,Intel,87912.0
Acer,Notebook,15.6,1366x768,4,Windows,2.4,0,0,Intel Core i3,500,0,Intel,23976.0
